               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095827,            0.020078,            0.044358,           0.0034729,             0.63945,            0.033252,            0.011737,            0.079386,            0.012183,            0.040866,            0.070259,           0.0033046,           0.0033046
                   1,             0.06299,            0.021474,            0.037808,             0.30841,              0.3252,             0.27224,             0.11827,            0.047928,             0.00985,            0.034623,            0.040127,           0.0065065,           0.0065065
                   2,             0.05697,             0.01816,            0.033522,             0.19284,             0.29325,             0.24383,             0.10361,            0.056102,           0.0091436,             0.03108,           0.0098638,           0.0095764,           0.0095764
                   3,            0.054618,             0.01614,            0.027011,             0.32952,             0.55856,             0.41347,             0.16312,            0.048532,           0.0082093,            0.022066,            0.009406,            0.009406,            0.009406
                   4,            0.051219,            0.016049,            0.021642,             0.58957,             0.47623,             0.54972,             0.27448,            0.046419,           0.0089261,             0.01876,            0.009406,            0.009406,            0.009406
                   5,            0.049362,            0.015713,            0.018698,              0.3729,             0.31971,             0.32556,             0.12115,            0.058685,           0.0089589,            0.030796,            0.009208,            0.009208,            0.009208
                   6,             0.04765,            0.015239,            0.017223,              0.6349,             0.58079,             0.61995,              0.2915,            0.045113,           0.0078971,            0.019844,             0.00901,             0.00901,             0.00901
                   7,            0.046586,            0.015647,            0.015872,             0.57524,              0.5233,             0.52702,             0.24575,            0.046851,           0.0086653,            0.016881,            0.008812,            0.008812,            0.008812
                   8,            0.045642,             0.01488,            0.013832,             0.72324,             0.55342,             0.67043,             0.32216,            0.042324,           0.0075766,            0.016959,            0.008614,            0.008614,            0.008614
                   9,            0.045201,            0.014706,            0.013684,             0.54464,             0.55681,              0.5473,             0.26955,            0.043432,           0.0083727,            0.021428,            0.008416,            0.008416,            0.008416
                  10,            0.044237,            0.014729,            0.013408,             0.58268,             0.50693,             0.53114,             0.26428,            0.046384,           0.0081764,            0.018338,            0.008218,            0.008218,            0.008218
                  11,            0.043928,            0.014726,            0.013516,              0.6921,             0.55781,             0.58914,             0.29698,            0.041352,           0.0080712,            0.013636,             0.00802,             0.00802,             0.00802
                  12,            0.042109,            0.014281,            0.012561,             0.65263,             0.66705,             0.69345,             0.34102,            0.041701,           0.0077116,            0.010946,            0.007822,            0.007822,            0.007822
                  13,            0.041826,            0.014236,            0.011496,             0.73002,             0.62745,              0.6679,             0.31342,            0.043351,            0.008356,            0.013481,            0.007624,            0.007624,            0.007624
                  14,            0.040912,             0.01427,            0.010266,             0.65383,             0.77298,             0.77444,             0.39024,            0.040344,           0.0068175,           0.0083491,            0.007426,            0.007426,            0.007426
                  15,            0.040609,            0.013747,            0.010032,             0.83518,             0.72635,             0.80676,             0.43089,            0.036796,           0.0066077,           0.0087995,            0.007228,            0.007228,            0.007228
                  16,            0.039131,            0.013727,           0.0089731,             0.54893,             0.41808,             0.43719,             0.16086,            0.052722,           0.0082158,            0.025623,             0.00703,             0.00703,             0.00703
                  17,            0.039319,            0.013548,           0.0089425,             0.81012,             0.70365,             0.77866,             0.39722,            0.039131,           0.0070176,           0.0077502,            0.006832,            0.006832,            0.006832
                  18,            0.038449,            0.013424,           0.0085002,             0.86171,             0.84109,             0.91214,             0.51947,            0.034536,           0.0060068,           0.0041263,            0.006634,            0.006634,            0.006634
                  19,            0.039013,            0.013403,           0.0085686,             0.89954,             0.79263,             0.89627,             0.50197,            0.034671,           0.0062109,           0.0031223,            0.006436,            0.006436,            0.006436
                  20,             0.03774,            0.013287,            0.008588,             0.85002,             0.76175,             0.85865,             0.45808,            0.035542,           0.0066108,           0.0046719,            0.006238,            0.006238,            0.006238
                  21,             0.03764,            0.012922,           0.0074213,             0.85094,              0.8375,             0.87602,             0.51027,             0.03451,           0.0062689,           0.0041802,             0.00604,             0.00604,             0.00604
                  22,            0.037392,            0.013224,           0.0079491,             0.89384,             0.83364,             0.88326,             0.47791,            0.035584,           0.0062331,           0.0050479,            0.005842,            0.005842,            0.005842
                  23,            0.036968,            0.012998,           0.0069642,             0.86294,             0.77367,              0.8551,             0.44482,            0.036964,            0.006819,           0.0056107,            0.005644,            0.005644,            0.005644
                  24,            0.035957,            0.012675,           0.0064582,             0.86962,             0.90925,             0.93325,             0.51519,            0.034401,           0.0058292,           0.0039431,            0.005446,            0.005446,            0.005446
                  25,            0.035101,            0.012643,           0.0066675,             0.93034,             0.86342,             0.92199,             0.52209,            0.033684,           0.0057677,           0.0025909,            0.005248,            0.005248,            0.005248
                  26,            0.035033,            0.012511,           0.0061283,             0.94538,              0.8341,             0.93769,             0.54444,            0.032815,           0.0059165,           0.0027598,             0.00505,             0.00505,             0.00505
                  27,            0.034864,             0.01221,           0.0064001,             0.89969,             0.85938,             0.91918,             0.55783,            0.031626,           0.0056718,            0.002248,            0.004852,            0.004852,            0.004852
                  28,            0.034611,            0.012209,           0.0059232,             0.89404,              0.8475,              0.9157,             0.53826,            0.033091,           0.0064203,           0.0025141,            0.004654,            0.004654,            0.004654
                  29,            0.034005,            0.012319,           0.0065044,             0.93575,             0.87021,             0.93923,             0.55878,            0.032532,           0.0056844,            0.002804,            0.004456,            0.004456,            0.004456
                  30,             0.03368,            0.012173,           0.0057235,             0.90033,             0.90313,             0.94396,             0.56065,            0.032009,           0.0056675,           0.0013421,            0.004258,            0.004258,            0.004258
                  31,             0.03329,            0.012109,           0.0059853,             0.92361,             0.86776,             0.92282,             0.54673,            0.032136,           0.0056768,           0.0057991,             0.00406,             0.00406,             0.00406
                  32,             0.03277,            0.012035,           0.0054824,             0.93245,             0.89702,             0.95101,             0.55965,            0.031877,            0.005559,          0.00091687,            0.003862,            0.003862,            0.003862
                  33,            0.033303,            0.011669,           0.0050504,             0.87702,             0.89807,             0.93584,             0.54865,            0.032568,            0.005497,           0.0019279,            0.003664,            0.003664,            0.003664
                  34,             0.03251,            0.011947,           0.0049299,             0.93311,             0.91778,             0.95745,             0.54293,            0.031906,           0.0053517,          0.00097329,            0.003466,            0.003466,            0.003466
                  35,            0.032031,            0.011958,           0.0048165,             0.87209,             0.83965,             0.86658,              0.5196,            0.033507,            0.006567,           0.0034253,            0.003268,            0.003268,            0.003268
                  36,            0.031719,              0.0114,           0.0046545,             0.93803,             0.89644,             0.95344,             0.59714,            0.030048,           0.0053273,           0.0013285,             0.00307,             0.00307,             0.00307
                  37,            0.031346,            0.011451,           0.0045493,              0.9475,             0.90515,             0.95151,             0.60035,            0.029581,           0.0052701,           0.0012905,            0.002872,            0.002872,            0.002872
                  38,            0.031133,            0.011842,           0.0047914,             0.89513,             0.86932,             0.92031,             0.54733,            0.031528,            0.005988,           0.0038894,            0.002674,            0.002674,            0.002674
                  39,            0.030791,            0.011556,            0.004463,             0.85552,             0.88142,             0.92156,             0.55789,            0.032115,           0.0060571,           0.0016692,            0.002476,            0.002476,            0.002476
                  40,            0.029787,            0.010987,           0.0036899,             0.91124,             0.90877,             0.94759,             0.58141,            0.030462,            0.005589,          0.00097142,            0.002278,            0.002278,            0.002278
                  41,            0.030093,            0.011306,            0.004021,             0.92961,             0.92278,             0.95204,             0.60248,            0.029564,           0.0053515,           0.0012342,             0.00208,             0.00208,             0.00208
                  42,            0.030011,            0.011146,           0.0041702,               0.956,             0.91576,             0.96564,             0.60202,            0.029425,           0.0053526,          0.00085951,            0.001882,            0.001882,            0.001882
                  43,            0.029267,            0.011004,            0.003836,             0.95516,             0.93667,             0.96328,             0.59133,            0.029989,           0.0053271,            0.001186,            0.001684,            0.001684,            0.001684
                  44,            0.029543,            0.010897,           0.0035908,             0.91465,             0.94903,             0.95819,             0.60032,             0.02899,           0.0053259,          0.00065792,            0.001486,            0.001486,            0.001486
                  45,            0.028996,            0.011204,           0.0034341,             0.94381,              0.9142,             0.94572,             0.58104,            0.029707,           0.0055517,          0.00052287,            0.001288,            0.001288,            0.001288
                  46,            0.028817,            0.010766,           0.0032274,             0.94773,             0.94232,             0.95909,              0.6094,            0.029314,           0.0053541,          0.00094941,             0.00109,             0.00109,             0.00109
                  47,            0.028209,            0.010233,           0.0033769,             0.93844,             0.94164,             0.96592,             0.60926,            0.028797,           0.0052029,          0.00047061,            0.000892,            0.000892,            0.000892
                  48,            0.028388,            0.010847,           0.0034339,              0.9598,             0.93646,             0.96221,              0.6183,            0.028559,           0.0052582,          0.00056922,            0.000694,            0.000694,            0.000694
                  49,             0.02829,            0.010546,           0.0037503,             0.95406,             0.93774,             0.96434,             0.61859,             0.02842,           0.0052546,          0.00055238,            0.000496,            0.000496,            0.000496
